JRR Name;Official Name;Region (UN);MENA (JRR);UN Member;DAC list
Afghanistan;Islamic Republic of Afghanistan;Asia: Southern;0;1;1
Albania;Republic of Albania;Europe: Southern;0;1;1
Algeria;People's Democratic Republic of Algeria;Africa: Northern;1;1;1
Andorra;Principality of Andorra;Europe: Southern;0;1;0
Angola;Republic of Angola;Africa: Central;0;1;1
Antigua and Barbuda;Antigua and Barbuda;Americas: Caribbean;0;1;1
Argentina;Republic of Argentina ;Americas: South;0;1;1
Armenia;Republic of Armenia;Asia: Western;0;1;1
Australia;Australia;Oceania: Aus-NZ;0;1;0
Austria;Republic of Austria;Europe: Western;0;1;0
Azerbaijan;Republic of Azerbaijan;Asia: Western;0;1;1
Bahamas;Commonwealth of the Bahamas;Americas: Caribbean;0;1;0
Bahrain;Kingdom of Bahrain;Asia: Western;1;1;0
Bangladesh;Republic of Bangladesh;Asia: Southern;0;1;1
Barbados;Barbados;Americas: Caribbean;0;1;0
Belarus;Republic of Belarus;Europe: Eastern;0;1;1
Belgium;Kingdom of Belgium;Europe: Western;0;1;0
Belize;Belize;Americas: Central;0;1;1
Benin;Republic of Benin;Africa: Western;0;1;1
Bhutan;Kingdom of Bhutan;Asia: Southern;0;1;1
Bolivia ;Plurinational State of Bolivia;Americas: South;0;1;1
Bosnia and Herzegovina;Bosnia and Herzegovina;Europe: Southern;0;1;1
Botswana;Republic of Botswana;Africa: Southern;0;1;1
Brazil;Federative Republic of Brazil;Americas: South;0;1;1
Brunei Darussalam;Negara Brunei Darussalam;Asia: South East;0;1;0
Bulgaria;Republic of Bulgaria;Europe: Eastern;0;1;0
Burkina Faso;Burkina Faso;Africa: Western;0;1;1
Burundi;Republic of Burundi;Africa: Eastern;0;1;1
Cambodia;Kingdom of Cambodia;Asia: South East;0;1;1
Cameroon;Republic of Cameroon;Africa: Central;0;1;1
Canada;Canada;Americas: North;0;1;0
Cape Verde;Republic of Cape Verde;Africa: Western;0;1;1
Central African Republic;Central African Republic;Africa: Central;0;1;1
Chad;Republic of Chad;Africa: Central;0;1;1
Chile;Republic of Chile;Americas: South;0;1;1
China;Republic of China;Asia: East;0;1;1
Colombia;Republic of Colombia;Americas: South;0;1;1
Comoros;Union of the Comoros;Africa: Eastern;0;1;1
Republic of Congo;Republic of Congo;Africa: Central;0;1;1
Costa Rica;Republic of Costa Rica;Americas: Central;0;1;1
Croatia;Republic of Croatia;Europe: Southern;0;1;0
Cuba;Republic of Cuba;Americas: Caribbean;0;1;1
Cyprus;Republic of Cyprus;Asia: Western;0;1;0
Czech Republic;Czech Republic;Europe: Eastern;0;1;0
Democratic People's Republic of Korea;Democratic Republic of Korea;Asia: East;0;1;1
Democratic Republic of the Congo ;Democratic Republic of the Congo;Africa: Central;0;1;1
Denmark;Kingdom of Denmark;Europe: Northern;0;1;0
Djibouti;Republic of Djibouti;Africa: Eastern;0;1;1
Documents issued by the Palestinian authorities;State of Palestine / West Bank and Gaza Strip / Palestinian Administered Areas;Asia: Western;1;0;1
Dominica;Commonwealth of Dominica;Americas: Caribbean;0;1;1
Dominican Republic;Dominican Republic;Americas: Caribbean;0;1;1
Ecuador;Republic of Ecuador;Americas: South;0;1;1
Egypt;Arab Republic of Egypt;Africa: Northern;1;1;1
El Salvador;Republic of El Salvador;Americas: Central;0;1;1
Equatorial Guinea;Republic of Equatorial Guinea;Africa: Central;0;1;1
Eritrea;State of Eritrea;Africa: Eastern;0;1;1
Estonia;Republic of Estonia;Europe: Northern;0;1;0
Ethiopia;Federal Democratic Republic of Ethiopia;Africa: Eastern;0;1;1
Fiji;Republic of Fiji ;Oceania: Pacific Islands;0;1;1
Finland;Republic of Finland;Europe: Northern;0;1;0
France;Republic of France;Europe: Western;0;1;0
Gabon;Republic of Gabon;Africa: Central;0;1;1
Gambia;Republic of the Gambia;Africa: Western;0;1;1
Georgia;Georgia;Asia: Western;0;1;1
Germany;Federal Republic of Germany;Europe: Western;0;1;0
Ghana;Republic of Ghana;Africa: Western;0;1;1
Greece;Hellenic Republic;Europe: Southern;0;1;0
Grenada;Grenada;Americas: Caribbean;0;1;1
Guatemala;Republic of Guatemala;Americas: Central;0;1;1
Guinea;Republic of Guinea;Africa: Western;0;1;1
Guinea Bissau;Republic of Guinea-Bissau;Africa: Western;0;1;1
Guyana;Republic of Guyana;Americas: South;0;1;1
Haiti;Republic of Haiti;Americas: Caribbean;0;1;1
Honduras;Republic of Honduras;Americas: Central;0;1;1
Hungary;Hungary;Europe: Eastern;0;1;0
Iceland;Republic of Iceland;Europe: Northern;0;1;0
India;Republic of India;Asia: Southern;0;1;1
Indonesia;Republic of Indonesia;Asia: South East;0;1;1
